timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745103176557,0,30848,-26128,-2632,18565,-27458,0
1745103176558,1,-21497,-238,9983,-8195,-3116,0
1745103176617,3,6007,-31369,-23896,-26754,-32364,0
1745103176617,2,1917,32476,-5465,1918,32489,0
1745103176618,0,10114,-27913,-26711,-6009,-28603,0
1745103176619,1,0,-14378,-129,28658,-1057,0
1745103176646,3,-22656,30316,14360,-2172,31681,0
1745103176647,2,-30852,32457,-8345,14206,31700,0
1745103176648,0,-26739,32758,2169,30864,-31378,0
1745103176649,1,-2561,133,12032,31753,-222,0
1745103176692,3,-18296,28929,-23513,-1914,31319,0
1745103176692,2,-30851,32219,-9705,-10370,31973,0
1745103176693,0,2193,30870,-1369,30863,-32570,0
1745103176694,1,-257,14782,224,11026,-50,0
1745103176752,3,-22403,30479,-698,6264,-32680,0
1745103176752,2,6010,30889,-29353,-10374,31404,0
1745103176753,0,2173,30562,-11370,10364,-32087,0
1745103176754,1,20487,1792,16,-17396,-153,0
1745103176782,3,-26769,32726,3191,1896,30500,0
1745103176782,2,30588,31665,-12617,-18564,31941,0
1745103176783,0,10095,-32009,22535,30574,-32082,0
1745103176785,1,0,896,144,10754,-43,0
1745103176842,3,9823,27424,27670,-27298,27626,0
1745103176842,2,30585,30604,31175,6004,30011,0
1745103176843,0,1633,29561,-21930,9822,28950,0
1745103176845,1,-16402,-51,7158,0,32512,0
1745103176872,3,30318,28544,-30697,-10636,29930,0
1745103176872,2,14194,30553,29047,10101,30546,0
1745103176873,0,-6542,28613,-17753,-6536,30196,0
1745103176874,1,0,0,28928,0,-15672,0
1745103176917,3,-30850,28976,-25593,-2181,29275,0
1745103176917,2,1909,31087,-26249,1912,31374,0
1745103176918,0,26490,27666,9223,26492,27243,0
1745103176932,1,0,113,-1024,8131,-3841,0
1745103176977,3,10106,29336,3591,-30854,30973,0
1745103176977,2,14202,31394,-18409,-2182,31377,0
1745103176992,0,30580,28489,-5178,14457,31001,0
1745103176992,1,0,75,0,28583,-3073,0
1745103177022,3,-26759,30651,6727,26484,31395,0
1745103177022,2,22393,31395,-20553,1917,31424,0
1745103177023,0,22646,32042,8423,6002,31921,0
1745103177024,1,-5,-1089,-13057,-12296,-104,0
1745103177067,3,22388,31648,25671,-6285,32137,0
1745103177067,2,-26757,31155,-25913,26491,31956,0
1745103177081,0,-18575,32149,-26041,-22666,-31796,0
1745103177083,1,-20494,-1068,-16385,-5,-1089,0
1745103177112,3,22390,31394,-30057,-14475,31868,0
1745103177112,2,-18564,31685,-25049,26489,31133,0
1745103177113,0,-18572,31107,-27465,-31117,29928,0
1745103177114,1,-5,-1089,-16385,-3,-181,0
1745103177157,3,30583,30560,-17481,14205,31927,0
1745103177172,2,-30854,31664,-22937,18298,31141,0
1745103177172,0,-14736,27800,-21753,-2175,29627,0
1745103177173,1,-4088,14592,-2306,-1,-688,0
1745103177201,3,-2178,31420,-12201,-18561,30152,0
1745103177202,2,14203,31665,-18777,26490,31657,0
1745103177203,0,18302,30945,-21849,-2176,30704,0
1745103177204,1,-5,-1089,-7681,24564,-5121,0
1745103177268,3,22396,30675,23719,-26498,32060,0
1745103177268,2,1916,31675,-16921,22393,31631,0
1745103177268,0,-6277,29627,7095,30845,31796,0
1745103177268,1,0,137,-9471,20442,-3073,0
1745103177292,3,-26761,31917,-17769,-14211,32297,0
